scenario,model,term,coefficient,std_error,p_value,effect_ratio,effect_ratio_ci_low,effect_ratio_ci_high,poisson_dispersion
economy,Poisson future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.431692089085348,0.02915924356189982,0.0,4.185775908746016,3.953261845798164,4.431965460841134,7.867387904320094
economy,Negative Binomial future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.6376961116030988,0.03962206437527825,0.0,5.143306248077125,4.759003475477327,5.558642538889069,
economy,Logit any future fine,"C(cluster_id, Treatment(reference=0))[T.1]",1.8981082885307559,0.05503161666672942,1.0857023748727216e-260,6.673258614518988,5.99093984318025,7.433287881691059,
base,Poisson future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.4300418484669741,0.028846195087446517,0.0,4.178874067737491,3.9491657141793817,4.421943706061373,7.886186149199078
base,Negative Binomial future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.6333687018012255,0.039051851709609314,0.0,5.121097142813244,4.743752451376088,5.528457948627213,
base,Logit any future fine,"C(cluster_id, Treatment(reference=0))[T.1]",1.9102381234529997,0.05417662872188838,2.458166543832201e-272,6.754697058829055,6.074221800598115,7.511403740979823,
high,Poisson future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.4299986071196322,0.028311737592433932,0.0,4.178693371499232,3.953133759070778,4.417123061658331,7.8880458585161115
high,Negative Binomial future fines with km offset,"C(cluster_id, Treatment(reference=0))[T.1]",1.633855260628021,0.03797641325697319,0.0,5.123589464112251,4.756075523757555,5.519502132721018,
high,Logit any future fine,"C(cluster_id, Treatment(reference=0))[T.1]",1.8991815448016383,0.05216871456010638,3.599288717516585e-290,6.680424575942898,6.031120070415527,7.39963257136532,
