model,outcome,observations,price_coefficient,std_error,p_value,ci_95_low,ci_95_high,effect_percent_per_1_rub,effect_percent_ci_low,effect_percent_ci_high,poisson_dispersion
Poisson FE,fine_count,80,0.014138229874603437,0.040810718912613474,0.7290164060689516,-0.06584930937730661,0.09412576912651348,1.4238647330195642,-6.372805893631217,9.869791950564434,29.043454027130878
Negative Binomial FE,fine_count,80,0.018321485124560326,0.01873677527742168,0.32815566098294446,-0.018401919605606644,0.055044889854727296,1.849035326165871,-1.8233638098256955,5.658804369473347,
OLS FE,violations_per_1000_clients,80,7.832087621638896,8.428097077732534,0.3527424254446495,-8.686679108924148,24.350854352201942,,,,
Mechanism OLS FE,sold_volume_per_client,80,-4.97409416990839,1.2287129497853646,5.1609732168969455e-05,-7.382327298825676,-2.565861040991103,,,,
