cluster,term,beta,standard_error,p_value_two_sided,ci95_low,ci95_high
client,const,-0.4170521915937282,0.04297084640831189,3.1205081748872688e-22,-0.5012774736187766,-0.33282690956867983
client,fuel_within_100l,0.07101299266686295,0.00495548214093658,2.140894431924077e-46,0.06129996823805532,0.08072601709567058
client,fuel_between_100l,0.05309356442936858,0.01075188282052281,7.939393455303831e-07,0.03201926781780267,0.07416786104093448
client,week_2026-04-13,0.0035304573891588396,0.0034327310811173945,0.3037389702859823,-0.003197889096642206,0.010258803874959886
client,week_2026-04-20,0.003677405716750191,0.0036371761770628997,0.3119969298633251,-0.0034516646854714883,0.01080647611897187
client,week_2026-04-27,0.01709925068266743,0.0038313389696900853,8.116512613108782e-06,0.009589610258333447,0.024608891107001412
client,week_2026-05-04,0.015313948148899368,0.0038808675238439557,7.967517253732153e-05,0.007707228965579252,0.022920667332219483
client,week_2026-05-11,0.029492648611832026,0.003839442131130487,1.6284416536487857e-14,0.021967125534149135,0.03701817168951491
client,week_2026-05-18,0.05185264556250837,0.004079364165334037,6.641030349070554e-37,0.043856861768925115,0.05984842935609162
client,week_2026-05-25,0.04421279156284821,0.004034158195846779,6.890104929552977e-28,0.03630561401856014,0.052119969107136274
client,week_2026-06-01,0.05620966131982834,0.004435908205364248,1.0955950959810944e-36,0.04751503110277585,0.06490429153688082
client,week_2026-06-08,0.06326886187951157,0.004222198521381579,1.5100677606185687e-50,0.05499311469384946,0.07154460906517368
client,week_2026-06-15,0.052514027931312324,0.004299708569658795,3.2812191074361263e-34,0.04408635668034577,0.060941699182278875
client,week_2026-06-22,0.05826748664719114,0.004251396770950528,1.3297823449396051e-42,0.04993450924592623,0.06660046404845604
client,week_2026-06-29,0.051429588961336356,0.004106191751908611,6.948823890347634e-36,0.043381221585297586,0.059477956337375126
client,week_2026-07-06,0.040899621687083276,0.004035841990033734,4.328722212890377e-24,0.032989143811242023,0.04881009956292453
client,week_2026-07-13,0.05122738924551858,0.004104745067045987,1.2174966743977972e-35,0.043181857453387054,0.05927292103765011
client,week_2026-07-20,0.05261639310461308,0.004133421256108983,5.246135035688956e-37,0.04451465436490866,0.0607181318443175
client,week_2026-07-27,0.023755170844909062,0.0037704963062657926,3.0193378053862475e-10,0.016364785471717727,0.031145556218100397
client,week_2026-08-03,0.010544755512761227,0.0038460563413328275,0.006116334595146416,0.0030062682101158677,0.018083242815406585
client,week_2026-08-10,-0.008476545610482337,0.003616139556393138,0.019081305224689083,-0.01556438304996624,-0.001388708170998434
client,week_2026-08-17,-0.013080806232011919,0.0035935608247709234,0.0002731009352707085,-0.0201243880843338,-0.006037224379690038
client,week_2026-08-24,-0.023441179544229366,0.003513446696556454,2.5773992068600113e-11,-0.030327733187729432,-0.0165546259007293
client,fines_2025_missing,0.2061973326091013,0.16142814988426324,0.20149663098164583,-0.11021094386724714,0.5226056090854497
client,log1p_fines_2025,0.13045111188935546,0.0024627577758181466,0.0,0.12562396777735255,0.13527825600135837
