k,silhouette,calinski_harabasz,davies_bouldin,stability_ari,min_cluster_share,max_cluster_share,inertia,selection_score,eligible,selected
3,0.17344845200318762,9564.85824448041,1.7319023943467304,0.9986399176009434,0.08144109055501461,0.5016942551119766,92109.36585091322,0.7630562567577901,True,False
4,0.19125682812450995,7099.723065793868,1.641233738901936,0.9976125572708631,0.08144109055501461,0.4411684518013632,84388.62587436638,0.8871972431632544,True,True
5,0.1751708421684301,5761.872703656726,1.7419139130570869,0.9939933711070946,0.08144109055501461,0.3383057448880234,78982.15066900411,0.6402621971936597,True,False
6,0.18372890607061618,4931.110550074216,1.6514756638892123,0.9986105061984292,0.057682570593963,0.31080817916260955,74843.27177694751,0.7215223975593671,True,False
7,0.1855416563197237,4325.941459025529,1.5817669370423462,0.9166833022101807,0.030808179162609542,0.2951898734177215,72292.63179114008,0.5264212086482509,True,False
8,0.13666485654497898,3839.8356001114976,1.8315768271009873,0.9943904492110344,0.029990262901655306,0.2951898734177215,70094.99621546734,0.13962995636252695,False,False
